Step,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,gamma7,loss(train),loss(validate)
20,0.0012469332432374358,9.834724914981052e-05,0.00013418393791653216,-0.0004839223111048341,0.0005251999828033149,-0.00015480058209504932,0.00013257151294965297,-4.406008520163596e-05,0.5841356515884399,0.5834947824478149
40,0.0031888429075479507,0.00027371669420972466,0.00028123336960561574,-0.0006824302254244685,0.0027726078405976295,-0.00030150930979289114,0.00016390708333346993,-5.886152939638123e-05,0.5122584700584412,0.5144765973091125
60,0.006580721121281385,0.0005486495210789144,0.00035507860593497753,-0.0007163239642977715,0.0058358521200716496,-0.00036013987846672535,0.00023493413755204529,-5.1432896725600585e-05,0.43824517726898193,0.4656606912612915
80,0.011505035683512688,0.000996406888589263,0.0007232133066281676,-0.0008014069753699005,0.008428875356912613,1.0471530913491733e-05,0.0005537031101994216,-0.00015683197125326842,0.3778671622276306,0.431357204914093
100,0.01794416457414627,0.0016053864965215325,0.0014986725291237235,-0.0008000632515177131,0.010875839740037918,0.0004855193546973169,0.0008115251548588276,-0.00035598923568613827,0.34048378467559814,0.4044385552406311
120,0.025601249188184738,0.0024118816945701838,0.0022562616504728794,-0.0006887015188112855,0.012814221903681755,0.0009967125952243805,0.0010179986711591482,-0.0004885986563749611,0.31228503584861755,0.38248351216316223
140,0.033057086169719696,0.0035578045062720776,0.0027231783606112003,-0.000567656010389328,0.014099443331360817,0.0015090794768184423,0.00108811364043504,-0.0005334598827175796,0.2785358726978302,0.3676826059818268
160,0.039239078760147095,0.005075534339994192,0.0029512059409171343,-0.0005320545169524848,0.014871172606945038,0.001956569030880928,0.0010637860978022218,-0.0005791309522464871,0.2567731440067291,0.35721060633659363
180,0.04498833790421486,0.006810507271438837,0.0031140015926212072,-0.0005479989340528846,0.015404457226395607,0.002375618787482381,0.0010535108158364892,-0.0006398011464625597,0.23253004252910614,0.35259580612182617
200,0.05067751184105873,0.008869015611708164,0.0033222725614905357,-0.0005770610878244042,0.01572413370013237,0.002735655754804611,0.001011886284686625,-0.0007184114074334502,0.21024280786514282,0.3459598422050476
220,0.05621881037950516,0.011083233170211315,0.003571799723431468,-0.0005755241145379841,0.015895405784249306,0.003011643188074231,0.0009247331763617694,-0.0008007387514226139,0.2024078667163849,0.3379056751728058
240,0.06195775792002678,0.013357625342905521,0.0038653931114822626,-0.0005362380761653185,0.016104379668831825,0.00324147567152977,0.0008020909735932946,-0.0008762380457483232,0.20001107454299927,0.32207873463630676
260,0.06763392686843872,0.015516955405473709,0.00414617033675313,-0.0004601525724865496,0.016407351940870285,0.003447933355346322,0.0006998909520916641,-0.0009441834408789873,0.18296387791633606,0.31019794940948486
280,0.07304462045431137,0.017557775601744652,0.004402242600917816,-0.0003457265847828239,0.016700778156518936,0.003670566948130727,0.0005353598389774561,-0.0010128484573215246,0.1844726949930191,0.3002563416957855
300,0.07848045974969864,0.019567005336284637,0.0046811532229185104,-0.0001892714499263093,0.017054390162229538,0.003907606936991215,0.0003747768932953477,-0.001067991484887898,0.19383691251277924,0.29274502396583557
320,0.08408327400684357,0.021527864038944244,0.00496243080124259,3.1626219424651936e-05,0.017484907060861588,0.0041392408311367035,0.00024149894306901842,-0.0011072758352383971,0.16142630577087402,0.2817712128162384
340,0.08893143385648727,0.023322515189647675,0.005228911992162466,0.000294162193313241,0.017746765166521072,0.004375021439045668,4.923917731503025e-05,-0.0011465210700407624,0.17305408418178558,0.2612670660018921
