Step,gamma,loss(train),loss(validate)
20,0.0014500967226922512,0.584131121635437,0.5834946632385254
40,0.005634197033941746,0.512187123298645,0.5144621729850769
60,0.012437219731509686,0.43792104721069336,0.46560412645339966
80,0.021293045952916145,0.3770875334739685,0.4312449097633362
100,0.03210681304335594,0.33925142884254456,0.4041779339313507
120,0.04390820115804672,0.31080421805381775,0.38201025128364563
140,0.05470176786184311,0.2771909832954407,0.36695677042007446
160,0.06341179460287094,0.25526824593544006,0.3565535247325897
180,0.07146399468183517,0.23067469894886017,0.3512069582939148
200,0.07939817756414413,0.20865021646022797,0.3433001637458801
220,0.08704987168312073,0.20107367634773254,0.3359662890434265
240,0.0948479175567627,0.19161689281463623,0.3235737681388855
260,0.10311871767044067,0.18513815104961395,0.31019023060798645
280,0.1105169951915741,0.19769656658172607,0.29693102836608887
300,0.11820581555366516,0.176108717918396,0.2860686779022217
320,0.12510372698307037,0.16021856665611267,0.27462875843048096
340,0.131429985165596,0.16463196277618408,0.2556876242160797
360,0.1382116973400116,0.15781696140766144,0.24012964963912964
380,0.14434626698493958,0.14582233130931854,0.22745409607887268
400,0.15006303787231445,0.15486128628253937,0.21081215143203735
420,0.15605705976486206,0.1386270523071289,0.19496828317642212
440,0.1618565022945404,0.13733802735805511,0.16865704953670502
460,0.1675274819135666,0.14053314924240112,0.17450031638145447
480,0.17291530966758728,0.12974289059638977,0.16217632591724396
500,0.1787896305322647,0.12870000302791595,0.15992183983325958
520,0.18411915004253387,0.12366747111082077,0.13995027542114258
540,0.18884360790252686,0.12571555376052856,0.1411173939704895
560,0.1938512623310089,0.1255948692560196,0.14571747183799744
580,0.19861279428005219,0.12054978311061859,0.1363917589187622
600,0.2031538188457489,0.11745114624500275,0.13203126192092896
620,0.20793695747852325,0.11831553280353546,0.12820851802825928
640,0.21251609921455383,0.11459574848413467,0.12717577815055847
660,0.2166358083486557,0.1163053959608078,0.12335913628339767
680,0.22038689255714417,0.10824969410896301,0.12086028605699539
700,0.22428680956363678,0.1136120930314064,0.12356075644493103
720,0.22834885120391846,0.11059343814849854,0.12499754130840302
740,0.232219859957695,0.10567375272512436,0.12010492384433746
760,0.2362270951271057,0.1052178218960762,0.11704398691654205
780,0.23984645307064056,0.1048918217420578,0.11187215894460678
800,0.2436533272266388,0.10075948387384415,0.11838354170322418
820,0.24717848002910614,0.09937048703432083,0.11890524625778198
840,0.25086137652397156,0.10573965311050415,0.11604491621255875
860,0.25425997376441956,0.10139136016368866,0.11848071962594986
880,0.25747913122177124,0.09898947924375534,0.10513925552368164
900,0.26060760021209717,0.10137952119112015,0.12241153419017792
920,0.26372936367988586,0.09758199006319046,0.10502637922763824
