Step,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,gamma7,loss(train),loss(validate)
20,0.0011797178303822875,0.0007142313406802714,0.00016209890600293875,-0.0006561702466569841,0.0006973152630962431,-0.00016619691450614482,-0.0003021003503818065,-0.0002691874105948955,0.9625627994537354,1.0004907846450806
40,0.005400531925261021,0.0019307048059999943,-2.3541206246591173e-05,-0.0008145130705088377,0.0032075357157737017,5.803027670481242e-05,-0.0006607364630326629,-0.0005462450790219009,0.7515283226966858,0.8259642124176025
60,0.011502785608172417,0.004095576237887144,-0.0007615109789185226,-0.0006483208853751421,0.0043111322447657585,0.0002683702332433313,-0.0012485214974731207,-0.0013012804556638002,0.5998908877372742,0.6437814831733704
80,0.018367204815149307,0.006528524681925774,-0.0017255315324291587,-0.0003961260081268847,0.003166571259498596,0.00033360140514560044,-0.0019811142701655626,-0.0024006010498851538,0.5005398392677307,0.5130332112312317
100,0.025407824665308,0.00881115160882473,-0.002628776477649808,-0.000163882810738869,0.0017088636523112655,0.00047840806655585766,-0.0024263253435492516,-0.0034085619263350964,0.4426202178001404,0.43018174171447754
120,0.03255382925271988,0.011074417270720005,-0.003380852285772562,0.00014512967027258128,0.00039635872235521674,0.0007110040169209242,-0.0026770448312163353,-0.0042573437094688416,0.3825358748435974,0.3829551041126251
140,0.03955722600221634,0.013451746664941311,-0.003995290957391262,0.00048268851242028177,-0.0008624782785773277,0.0009233887540176511,-0.002866026945412159,-0.004947744309902191,0.36757636070251465,0.35165107250213623
160,0.046616073697805405,0.015798252075910568,-0.004471680615097284,0.0008535103406757116,-0.0013191424077376723,0.0011709454702213407,-0.003049640916287899,-0.005427386146038771,0.3159829080104828,0.3444027304649353
180,0.05327366292476654,0.018182486295700073,-0.004769930616021156,0.0010066271061077714,-0.0017656784038990736,0.0013792290119454265,-0.0032696521375328302,-0.005827880464494228,0.297718346118927,0.3444984257221222
200,0.0596134327352047,0.02055349014699459,-0.004966983571648598,0.0010380011517554522,-0.0021956961136311293,0.00156143878120929,-0.0035396316088736057,-0.006175362505018711,0.274228572845459,0.3336153030395508
220,0.06576064229011536,0.02290826104581356,-0.005077851936221123,0.000940062862355262,-0.0025303540751338005,0.0017422506352886558,-0.003840292803943157,-0.006483988370746374,0.2629725933074951,0.3255079984664917
240,0.0721137672662735,0.02530140057206154,-0.005091060884296894,0.0008622519671916962,-0.002479409333318472,0.00196437886916101,-0.004119998775422573,-0.0067514702677726746,0.29109057784080505,0.2882366180419922
260,0.07899656146764755,0.02742520347237587,-0.005224777851253748,0.0008328781113959849,-0.002057361649349332,0.0023175934329628944,-0.004336890764534473,-0.0068996865302324295,0.24892555177211761,0.3257887363433838
280,0.08485861867666245,0.029599711298942566,-0.005298740696161985,0.0004492234147619456,-0.001952786697074771,0.0025627536233514547,-0.004575201775878668,-0.0070829675532877445,0.22143888473510742,0.3187246322631836
300,0.08969606459140778,0.03167840838432312,-0.005409522447735071,0.00012369203614071012,-0.001999725354835391,0.0026859715580940247,-0.004795811139047146,-0.00728200888261199,0.22122979164123535,0.3120273947715759
320,0.09438506513834,0.03372269123792648,-0.005538264289498329,-0.0001436922757420689,-0.0020592499058693647,0.002769543556496501,-0.005027960054576397,-0.007487196009606123,0.20813797414302826,0.320850670337677
340,0.09887795150279999,0.035684145987033844,-0.005668926052749157,-0.000448591512395069,-0.0021443406585603952,0.0028369661886245012,-0.005257140379399061,-0.007689873222261667,0.20655953884124756,0.3136144280433655
360,0.1035120040178299,0.03767472878098488,-0.00576359685510397,-0.0006978597375564277,-0.0021948388312011957,0.0028943729121237993,-0.005510712508112192,-0.007876735180616379,0.2152380496263504,0.3170401453971863
380,0.10848540812730789,0.039752114564180374,-0.005833459086716175,-0.0008653213735669851,-0.0021299426443874836,0.002954757073894143,-0.0057438877411186695,-0.008050255477428436,0.19583210349082947,0.2985459566116333
400,0.11273905634880066,0.04162197187542915,-0.005943503230810165,-0.0011084582656621933,-0.0021767993457615376,0.00295066274702549,-0.005972673650830984,-0.008229745551943779,0.18535304069519043,0.28844863176345825
420,0.11680321395397186,0.043356142938137054,-0.006044352892786264,-0.0013023517094552517,-0.002269197953864932,0.0029258010908961296,-0.006225621327757835,-0.00841488316655159,0.18385177850723267,0.3003312945365906
440,0.12074336409568787,0.04512716084718704,-0.006129052489995956,-0.0014855413464829326,-0.0023043544497340918,0.002895994344726205,-0.00649375282227993,-0.008580327965319157,0.18586426973342896,0.30306920409202576
460,0.12495794147253036,0.04689231142401695,-0.006164428777992725,-0.0015850323252379894,-0.002292460994794965,0.002860073233023286,-0.0067441994324326515,-0.008737107738852501,0.16654996573925018,0.2516784071922302
480,0.12868039309978485,0.048616260290145874,-0.006242860108613968,-0.0017571956850588322,-0.0023389440029859543,0.0028049005195498466,-0.007012041285634041,-0.008889591321349144,0.16394782066345215,0.24191239476203918
500,0.1323288083076477,0.050177641212940216,-0.006300095468759537,-0.0018690834986045957,-0.002387494081631303,0.002744506113231182,-0.00730314664542675,-0.009034336544573307,0.1636820137500763,0.2352030724287033
520,0.1358059197664261,0.05175846815109253,-0.006339667830616236,-0.002005289774388075,-0.0024360010866075754,0.0026718557346612215,-0.007579379249364138,-0.00919214729219675,0.16343656182289124,0.21551194787025452
540,0.13951915502548218,0.05333337187767029,-0.006370059214532375,-0.0020557024981826544,-0.0024573937989771366,0.0026214418467134237,-0.00787817221134901,-0.009320265613496304,0.1596735566854477,0.2149449586868286
560,0.14294183254241943,0.05484207719564438,-0.006414258386939764,-0.002151777734979987,-0.002496593166142702,0.002564524533227086,-0.00813406053930521,-0.009442465379834175,0.1500197947025299,0.18839363753795624
580,0.1465299427509308,0.05634436756372452,-0.006426071748137474,-0.0022136513143777847,-0.0025129884015768766,0.0025087983813136816,-0.008409630507230759,-0.009581446647644043,0.15113230049610138,0.16459214687347412
600,0.14959682524204254,0.057701773941516876,-0.006453933194279671,-0.0022317571565508842,-0.002543092705309391,0.0024230291601270437,-0.008657984435558319,-0.009717551991343498,0.1498982459306717,0.1564040631055832
620,0.152666375041008,0.05902574956417084,-0.006455623544752598,-0.002278983360156417,-0.002617454156279564,0.002343111904338002,-0.008965904824435711,-0.009838936850428581,0.14310847222805023,0.1537545919418335
640,0.1560785472393036,0.06044851988554001,-0.006462044082581997,-0.002265484305098653,-0.002618584083393216,0.0022952258586883545,-0.009266919456422329,-0.009964276105165482,0.149881049990654,0.15598802268505096
660,0.15915417671203613,0.06176188215613365,-0.006454074755311012,-0.002287185750901699,-0.0026352389249950647,0.0022664035204797983,-0.0095538180321455,-0.01008631382137537,0.14606259763240814,0.1565585881471634
680,0.1619064062833786,0.06304061412811279,-0.006457824259996414,-0.0023323302157223225,-0.002686879364773631,0.0021997627336531878,-0.009835455566644669,-0.010204772464931011,0.14158207178115845,0.1479237675666809
700,0.16460509598255157,0.0642649307847023,-0.006441524717956781,-0.0023583590518683195,-0.002753183012828231,0.0021148198284208775,-0.010120591148734093,-0.010321811772882938,0.14080865681171417,0.14909620583057404
720,0.16735701262950897,0.06556329131126404,-0.006413373630493879,-0.0023509974125772715,-0.0027877287939190865,0.002055037533864379,-0.010391471907496452,-0.010445645079016685,0.1397816240787506,0.1469517946243286
740,0.170119509100914,0.06685785949230194,-0.006386802066117525,-0.002333137672394514,-0.0028156316839158535,0.0020064571872353554,-0.010682741180062294,-0.01057413686066866,0.13676732778549194,0.14009559154510498
760,0.17298582196235657,0.06816840916872025,-0.00636320561170578,-0.0023223571479320526,-0.0028586192056536674,0.001951424521394074,-0.01099477056413889,-0.010695087723433971,0.13840711116790771,0.14272280037403107
780,0.17592158913612366,0.06939927488565445,-0.006327162962406874,-0.0022803139872848988,-0.002838529646396637,0.0019157547503709793,-0.011268342845141888,-0.010801351629197598,0.14117981493473053,0.16099928319454193
800,0.17887751758098602,0.07048654556274414,-0.006307345815002918,-0.002266739262267947,-0.002817695029079914,0.0019095111638307571,-0.011550657451152802,-0.010901011526584625,0.13493585586547852,0.1455780565738678
820,0.1814003735780716,0.07160711288452148,-0.006268355995416641,-0.0022069422993808985,-0.0028324571903795004,0.0018828717293217778,-0.01182473637163639,-0.010999990627169609,0.13192416727542877,0.13604609668254852
840,0.18401914834976196,0.07274936139583588,-0.0062375604175031185,-0.0021638094913214445,-0.002864409238100052,0.0018355032661929727,-0.012085466645658016,-0.011103368364274502,0.14379821717739105,0.14033669233322144
860,0.18696561455726624,0.0739801675081253,-0.006192914210259914,-0.0021151944529265165,-0.0028331843204796314,0.0018382738344371319,-0.012355453334748745,-0.011203994043171406,0.13727204501628876,0.13325612246990204
880,0.18947423994541168,0.0750187486410141,-0.0061800298281013966,-0.002081751823425293,-0.002843429334461689,0.0018002708675339818,-0.012623333372175694,-0.011306310072541237,0.13313397765159607,0.13209396600723267
900,0.19176071882247925,0.07602554559707642,-0.006152856629341841,-0.002010120777413249,-0.002882573986425996,0.0017754965228959918,-0.012903490103781223,-0.011416890658438206,0.128820538520813,0.13353823125362396
920,0.1940484493970871,0.07706940919160843,-0.006123230792582035,-0.001933693652972579,-0.0029289978556334972,0.0017585286404937506,-0.013182004913687706,-0.01150982640683651,0.12941507995128632,0.1344452202320099
940,0.19631557166576385,0.0781007707118988,-0.006104606669396162,-0.0018060506554320455,-0.0029299159068614244,0.0017288934905081987,-0.013449168764054775,-0.011593012139201164,0.12992000579833984,0.13027797639369965
960,0.1982875019311905,0.07912445813417435,-0.006087292917072773,-0.0017015832709148526,-0.002959422068670392,0.0016785955522209406,-0.013687429018318653,-0.011668293736875057,0.12193738669157028,0.13618098199367523
980,0.20033350586891174,0.08010875433683395,-0.006052577402442694,-0.0016265502199530602,-0.0030122895259410143,0.0016551041044294834,-0.013921292498707771,-0.011772866360843182,0.128450408577919,0.13522520661354065
1000,0.2023668885231018,0.0811721459031105,-0.006012808997184038,-0.0015192498685792089,-0.0030343534890562296,0.001631889957934618,-0.014146635308861732,-0.011860573664307594,0.12807638943195343,0.14039355516433716
1020,0.2047300785779953,0.08215782046318054,-0.0059608654119074345,-0.0014262498589232564,-0.0030351111199706793,0.0016197970835492015,-0.014366582036018372,-0.011958211660385132,0.12332484871149063,0.13233542442321777
1040,0.20698174834251404,0.08310835063457489,-0.005935589782893658,-0.0013224560534581542,-0.0030390482861548662,0.0016152472235262394,-0.01456440705806017,-0.012041929177939892,0.1207745298743248,0.12845829129219055
1060,0.2092108279466629,0.08403582870960236,-0.005891007836908102,-0.0012260671937838197,-0.0030380620155483484,0.001610770239494741,-0.014802854508161545,-0.012107546441257,0.1318882554769516,0.12477649003267288
1080,0.211338609457016,0.08493399620056152,-0.005856942385435104,-0.0011089686304330826,-0.003031758591532707,0.0015941881574690342,-0.015024956315755844,-0.01217383798211813,0.11990898847579956,0.12447290867567062
1100,0.21326518058776855,0.08586113154888153,-0.005817581433802843,-0.0010004625655710697,-0.0030763058457523584,0.001561278011649847,-0.015239138156175613,-0.012240314856171608,0.12013959139585495,0.11916521936655045
1120,0.21495801210403442,0.08670764416456223,-0.005773382727056742,-0.0008942860877141356,-0.0031231779139488935,0.0015404119621962309,-0.015461447648704052,-0.012319752015173435,0.11838818341493607,0.12298215180635452
1140,0.21668681502342224,0.08758901804685593,-0.005716192070394754,-0.0007810851675458252,-0.0031819608993828297,0.0015187187818810344,-0.015678714960813522,-0.01240841206163168,0.12138475477695465,0.12951774895191193
1160,0.21850620210170746,0.08849315345287323,-0.005646190140396357,-0.0006717738579027355,-0.0032147911842912436,0.001508355257101357,-0.015875985845923424,-0.012485898099839687,0.11857330799102783,0.12344091385602951
1180,0.2203337550163269,0.08942814916372299,-0.005567822139710188,-0.0005618139402940869,-0.0032468086574226618,0.001492855604737997,-0.016047775745391846,-0.012566924095153809,0.11783988028764725,0.11964750289916992
1200,0.22208590805530548,0.09026240557432175,-0.005467964801937342,-0.0004513236926868558,-0.0032831113785505295,0.0014739865437150002,-0.01625148393213749,-0.012645385228097439,0.11720255017280579,0.11611860990524292
1220,0.22400277853012085,0.09118692576885223,-0.0054149748757481575,-0.00034418125869706273,-0.0032891095615923405,0.0014558382099494338,-0.01644558645784855,-0.012737730517983437,0.11939731240272522,0.11780878156423569
1240,0.22574591636657715,0.09209119528532028,-0.005340614356100559,-0.0002325688546989113,-0.0032794647850096226,0.0014341664500534534,-0.01663096249103546,-0.012822777032852173,0.12101145088672638,0.11857592314481735
