Step,gamma0,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,gamma7,loss(train),loss(validate)
20,0.0012477828422561288,9.895558468997478e-05,0.00013575603952631354,-0.0004828962846659124,0.0005336579051800072,-0.00015179016918409616,0.0001335863780695945,-4.2764553654706106e-05,0.5841324925422668,0.5834811925888062
40,0.003190761199221015,0.00027488271007314324,0.00028354758978821337,-0.0006811469793319702,0.002784391399472952,-0.0002983474114444107,0.0001655920350458473,-5.7184814068023115e-05,0.5122619867324829,0.5144714713096619
60,0.006583768874406815,0.0005497891106642783,0.0003582156205084175,-0.0007146534626372159,0.005849486216902733,-0.00035596839734353125,0.00023689880617894232,-4.8684854846214876e-05,0.438178151845932,0.4656558036804199
80,0.011509002186357975,0.0009981530020013452,0.0007279826095327735,-0.0007995896739885211,0.008444246836006641,1.749194234434981e-05,0.0005569815984927118,-0.00015221933426801115,0.3777817487716675,0.43134188652038574
100,0.01794753596186638,0.00160767522174865,0.0015039162244647741,-0.00079772510798648,0.010892320424318314,0.0004955210606567562,0.000817192136310041,-0.00035197040415368974,0.3404409885406494,0.40443098545074463
120,0.02560502290725708,0.0024155620485544205,0.0022618002258241177,-0.0006858097622171044,0.01283428817987442,0.0010096904588863254,0.0010250800987705588,-0.000485619151731953,0.3122390806674957,0.3824850916862488
140,0.03306306153535843,0.0035643521696329117,0.0027295020408928394,-0.0005635863053612411,0.014123108237981796,0.0015208139084279537,0.0010945607209578156,-0.0005282078054733574,0.27851179242134094,0.3676881194114685
160,0.03925008699297905,0.005085933953523636,0.0029587538447231054,-0.0005276183946989477,0.014898319728672504,0.0019678089302033186,0.0010696876561269164,-0.0005704579525627196,0.256746381521225,0.35724663734436035
180,0.04500920698046684,0.00682790344581008,0.0031225355342030525,-0.0005443203262984753,0.015435704961419106,0.002386238658800721,0.0010593998013064265,-0.0006264389958232641,0.23237930238246918,0.3526569604873657
200,0.05071007460355759,0.008892381563782692,0.0033323958050459623,-0.0005729141994379461,0.015756987035274506,0.0027481461875140667,0.0010208924068138003,-0.0007016795570962131,0.2101413905620575,0.34597617387771606
220,0.05625740438699722,0.011111771687865257,0.0035829416010528803,-0.0005722932401113212,0.01593112386763096,0.0030257252510637045,0.0009349256288260221,-0.0007832004921510816,0.20249007642269135,0.3380538821220398
240,0.0620221272110939,0.01339356042444706,0.003877868875861168,-0.0005307471728883684,0.016137711703777313,0.0032621538266539574,0.0008143961895257235,-0.000856277474667877,0.20243896543979645,0.3223403990268707
260,0.06776031106710434,0.015554103069007397,0.004154294729232788,-0.0004580922541208565,0.016449255868792534,0.0034806111361831427,0.0007151702302508056,-0.0009187746327370405,0.1841357946395874,0.3094106912612915
280,0.07301831245422363,0.017563076689839363,0.004396239761263132,-0.00033026657183654606,0.0167292058467865,0.003711908822879195,0.0005526943714357913,-0.000984162325039506,0.19865407049655914,0.2992382049560547
300,0.07820653915405273,0.01954605244100094,0.004659706726670265,-0.00017176965775433928,0.01705871894955635,0.0039358283393085,0.00039207213558256626,-0.001036063302308321,0.17485202848911285,0.29806482791900635
320,0.08562081307172775,0.02173614129424095,0.005003316793590784,7.996396016096696e-05,0.01744385063648224,0.0042847394943237305,0.0002718129544518888,-0.0010658210376277566,0.18677541613578796,0.2500978708267212
340,0.09105858951807022,0.02361600659787655,0.005243031773716211,0.00028537146863527596,0.018024731427431107,0.004478455521166325,0.00015772006008774042,-0.0010980708757415414,0.16501283645629883,0.2695399522781372
360,0.09546336531639099,0.025463726371526718,0.005425558425486088,0.0006498251459561288,0.018297435715794563,0.004690411034971476,-5.021839024266228e-05,-0.0011586943874135613,0.15778952836990356,0.2588661015033722
380,0.09973212331533432,0.02716664783656597,0.005691755097359419,0.0010238083777949214,0.018504492938518524,0.004934460856020451,-0.00028461270267143846,-0.0012075398117303848,0.15344750881195068,0.23330920934677124
400,0.10368391126394272,0.02869902178645134,0.00598158361390233,0.0014047212898731232,0.018730660900473595,0.005198472645133734,-0.000505314557813108,-0.0012498574797064066,0.14803726971149445,0.22490383684635162
420,0.1077754944562912,0.030208352953195572,0.006274845916777849,0.0018794146599248052,0.01898454874753952,0.005506105255335569,-0.0007299142307601869,-0.0012736583594232798,0.14299744367599487,0.19271299242973328
440,0.11199158430099487,0.03177651762962341,0.0066149597987532616,0.002352030947804451,0.019257936626672745,0.0058055236004292965,-0.0009497613064013422,-0.0012999017490074039,0.14346177875995636,0.19221976399421692
460,0.11595764011144638,0.03324424475431442,0.006946010980755091,0.00292816455475986,0.019486259669065475,0.006103422027081251,-0.0011440778616815805,-0.00133174704387784,0.13934318721294403,0.18302594125270844
480,0.1194399744272232,0.03467484191060066,0.007264707237482071,0.0034895616117864847,0.019693568348884583,0.0063907247968018055,-0.0013219801476225257,-0.0013549788855016232,0.13512597978115082,0.1649284064769745
500,0.12304382771253586,0.03614127263426781,0.007636889815330505,0.004050632938742638,0.019892768934369087,0.006696056108921766,-0.0014837420312687755,-0.0013856473378837109,0.14952673017978668,0.17805351316928864
520,0.12702661752700806,0.03773868829011917,0.008016670122742653,0.004591376055032015,0.02012566290795803,0.007014359813183546,-0.001643066294491291,-0.0014072463382035494,0.12995398044586182,0.14877334237098694
540,0.13089944422245026,0.03924952447414398,0.00837942399084568,0.00514465244486928,0.02033386193215847,0.007317801471799612,-0.0017660838784649968,-0.0014321879716590047,0.1310923993587494,0.14762426912784576
